"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FELL_TOT","Fellings","CRI","Costa Rica","2021","2021","M3","Cubic metres","3","Thousands",,,593,,
"FELL_TOT","Fellings","LVA","Latvia","2000","2000","M3","Cubic metres","3","Thousands",,,15734.4,,
"FELL_TOT","Fellings","LVA","Latvia","2001","2001","M3","Cubic metres","3","Thousands",,,14125.1,,
"FELL_TOT","Fellings","LVA","Latvia","2002","2002","M3","Cubic metres","3","Thousands",,,14812.6,,
"FELL_TOT","Fellings","LVA","Latvia","2003","2003","M3","Cubic metres","3","Thousands",,,14207.391,,
"FELL_TOT","Fellings","LVA","Latvia","2004","2004","M3","Cubic metres","3","Thousands",,,14029.4,,
"FELL_TOT","Fellings","LVA","Latvia","2005","2005","M3","Cubic metres","3","Thousands",,,14126.97,,
"FELL_TOT","Fellings","LVA","Latvia","2006","2006","M3","Cubic metres","3","Thousands",,,14129.06,,
"FELL_TOT","Fellings","LVA","Latvia","2007","2007","M3","Cubic metres","3","Thousands",,,13633.648,,
"FELL_TOT","Fellings","LVA","Latvia","2008","2008","M3","Cubic metres","3","Thousands",,,10135.716,,
"FELL_TOT","Fellings","LVA","Latvia","2009","2009","M3","Cubic metres","3","Thousands",,,11787.073,,
"FELL_TOT","Fellings","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,13879.072,,
"FELL_TOT","Fellings","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,14499.83,,
"FELL_TOT","Fellings","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,13852.926,,
"FELL_TOT","Fellings","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,13466.145,,
"FELL_TOT","Fellings","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,14173.879,,
"FELL_TOT","Fellings","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,13928.729,,
"FELL_TOT","Fellings","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,14299,,
"FELL_TOT","Fellings","LVA","Latvia","2017","2017","M3","Cubic metres","3","Thousands",,,14700,,
"FELL_TOT","Fellings","LVA","Latvia","2018","2018","M3","Cubic metres","3","Thousands",,,16119,,
"FELL_TOT","Fellings","LVA","Latvia","2019","2019","M3","Cubic metres","3","Thousands",,,16951.51,,
"FELL_TOT","Fellings","LVA","Latvia","2020","2020","M3","Cubic metres","3","Thousands",,,17546.88,,
"FELL_TOT","Fellings","LVA","Latvia","2021","2021","M3","Cubic metres","3","Thousands",,,18234,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2017","2017","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2018","2018","M3","Cubic metres","3","Thousands",,,150,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2019","2019","M3","Cubic metres","3","Thousands",,,174.81,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2020","2020","M3","Cubic metres","3","Thousands",,,180.7,,
"FELL_SALV","Volumes salvaged","LVA","Latvia","2021","2021","M3","Cubic metres","3","Thousands",,,176.8,,
"NET_FELL","Net fellings","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,13729.072,,
"NET_FELL","Net fellings","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,14349.83,,
"NET_FELL","Net fellings","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,13703,,
"NET_FELL","Net fellings","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,13316.145,,
"NET_FELL","Net fellings","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,14023.879,,
"NET_FELL","Net fellings","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,13778.729,,
"NET_FELL","Net fellings","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,14149,,
"NET_FELL","Net fellings","LVA","Latvia","2017","2017","M3","Cubic metres","3","Thousands",,,14550,,
"NET_FELL","Net fellings","LVA","Latvia","2018","2018","M3","Cubic metres","3","Thousands",,,15969,,
"NET_FELL","Net fellings","LVA","Latvia","2019","2019","M3","Cubic metres","3","Thousands",,,16776.7,,
"NET_FELL","Net fellings","LVA","Latvia","2020","2020","M3","Cubic metres","3","Thousands",,,17366.18,,
"NET_FELL","Net fellings","LVA","Latvia","2021","2021","M3","Cubic metres","3","Thousands",,,18057.2,,
"LOSSES","Natural losses","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,6090,,
"LOSSES","Natural losses","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,6090,,
"LOSSES","Natural losses","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,6090,,
"LOSSES","Natural losses","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,6090,,
"LOSSES","Natural losses","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,6090,,
"LOSSES","Natural losses","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,6070,,
"LOSSES","Natural losses","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,6070,,
"LOSSES","Natural losses","LVA","Latvia","2017","2017","M3","Cubic metres","3","Thousands",,,6070,,
"LOSSES","Natural losses","LVA","Latvia","2018","2018","M3","Cubic metres","3","Thousands",,,5943,,
"LOSSES","Natural losses","LVA","Latvia","2019","2019","M3","Cubic metres","3","Thousands",,,5722,,
"LOSSES","Natural losses","LVA","Latvia","2020","2020","M3","Cubic metres","3","Thousands",,,5456,,
"LOSSES","Natural losses","LVA","Latvia","2021","2021","M3","Cubic metres","3","Thousands",,,5308,,
"GINCR","Gross Increment","LVA","Latvia","2005","2005","M3","Cubic metres","3","Thousands",,,25280,,
"GINCR","Gross Increment","LVA","Latvia","2006","2006","M3","Cubic metres","3","Thousands",,,25280,,
"GINCR","Gross Increment","LVA","Latvia","2007","2007","M3","Cubic metres","3","Thousands",,,25280,,
"GINCR","Gross Increment","LVA","Latvia","2008","2008","M3","Cubic metres","3","Thousands",,,25280,,
"GINCR","Gross Increment","LVA","Latvia","2009","2009","M3","Cubic metres","3","Thousands",,,25280,,
"GINCR","Gross Increment","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2017","2017","M3","Cubic metres","3","Thousands",,,25770,,
"GINCR","Gross Increment","LVA","Latvia","2018","2018","M3","Cubic metres","3","Thousands",,,26843,,
"GINCR","Gross Increment","LVA","Latvia","2019","2019","M3","Cubic metres","3","Thousands",,,26843,,
"GINCR","Gross Increment","LVA","Latvia","2020","2020","M3","Cubic metres","3","Thousands",,,26843,,
"GINCR","Gross Increment","LVA","Latvia","2021","2021","M3","Cubic metres","3","Thousands",,,26843,,
"CHANGE","Net change","LVA","Latvia","2010","2010","M3","Cubic metres","3","Thousands",,,5950.928,,
"CHANGE","Net change","LVA","Latvia","2011","2011","M3","Cubic metres","3","Thousands",,,5330.17,,
"CHANGE","Net change","LVA","Latvia","2012","2012","M3","Cubic metres","3","Thousands",,,5977.01,,
"CHANGE","Net change","LVA","Latvia","2013","2013","M3","Cubic metres","3","Thousands",,,6363.855,,
"CHANGE","Net change","LVA","Latvia","2014","2014","M3","Cubic metres","3","Thousands",,,5656.121,,
"CHANGE","Net change","LVA","Latvia","2015","2015","M3","Cubic metres","3","Thousands",,,5921.27,,
"CHANGE","Net change","LVA","Latvia","2016","2016","M3","Cubic metres","3","Thousands",,,5551,,
